Zone 1 Decay Concentrations:
Constituent             Avg Mass     Fraction in Level 1
Level 1    Isotope    [amu/atom]        Mass        Atom
Level 1    Isotope    [amu/atom]        Mass        Atom
           h-1            1.0078   9.428e-11   8.337e-09
           he-4           4.0026   1.066e-06   2.373e-05
           be-9           9.0122   2.736e-08   2.705e-07
           c-12          12.0000   7.286e-02   5.411e-01
           c-13          13.0034   9.253e-04   6.341e-03
           mg-24         23.9850   7.094e-10   2.636e-09
           mg-25         24.9858   3.339e-08   1.191e-07
           mg-26         25.9826   7.055e-10   2.420e-09
           al-27         26.9815   1.116e-08   3.686e-08
           si-28         27.9769   3.178e-02   1.012e-01
           si-29         28.9765   1.732e-03   5.326e-03
           si-30         29.9738   1.223e-03   3.636e-03
           p-31          30.9738   7.999e-10   2.301e-09
           th-230       230.0331   2.551e-06   9.885e-07
           th-232       232.0381   8.914e-01   3.423e-01
           pa-231       231.0359   1.025e-05   3.954e-06
           pa-233       233.0402   2.979e-06   1.139e-06
           u-232        232.0372   8.966e-09   3.444e-09
           u-233        233.0396   1.051e-04   4.018e-05
           u-234        234.0410   2.384e-08   9.079e-09
           br-81         80.9163   1.338e-09   1.473e-09
           se-82         81.9167   1.970e-09   2.143e-09
           kr-83         82.9141   2.840e-09   3.052e-09
           kr-84         83.9115   4.703e-09   4.995e-09
           kr-85         84.9125   1.470e-09   1.543e-09
           rb-85         84.9118   5.427e-09   5.696e-09
           kr-86         85.9106   9.300e-09   9.647e-09
           rb-87         86.9092   9.441e-09   9.681e-09
           sr-88         87.9056   1.030e-08   1.044e-08
           sr-89         88.9075   2.267e-09   2.272e-09
           y-89          88.9058   9.311e-09   9.333e-09
           sr-90         89.9077   1.219e-08   1.209e-08
           y-91          90.9073   2.951e-09   2.893e-09
           zr-91         90.9056   9.050e-09   8.872e-09
           zr-92         91.9050   1.172e-08   1.136e-08
           zr-93         92.9065   1.189e-08   1.141e-08
           zr-94         93.9063   1.130e-08   1.073e-08
           zr-95         94.9080   2.923e-09   2.745e-09
           nb-95         94.9068   2.326e-09   2.184e-09
           zr-96         95.9083   8.841e-09   8.215e-09
           mo-97         96.9060   8.202e-09   7.543e-09
           mo-98         97.9054   6.888e-09   6.270e-09
           tc-99         98.9063   5.586e-09   5.034e-09
           mo-100        99.9075   4.185e-09   3.733e-09
           ru-101       100.9056   3.225e-09   2.849e-09
           ru-102       101.9043   2.390e-09   2.090e-09
           ru-104       103.9054   1.961e-09   1.682e-09
           pd-105       104.9051   2.157e-09   1.832e-09
           ru-106       105.9073   1.846e-09   1.553e-09
           pd-107       106.9051   2.285e-09   1.905e-09
           pd-108       107.9039   2.546e-09   2.103e-09
           ag-109       108.9048   2.822e-09   2.309e-09
           pd-110       109.9052   2.868e-09   2.326e-09
           cd-111       110.9042   2.727e-09   2.191e-09
           cd-112       111.9028   3.127e-09   2.491e-09
           cd-113       112.9044   2.898e-09   2.288e-09
           cd-114       113.9034   3.081e-09   2.411e-09
           in-115       114.9039   2.783e-09   2.159e-09
           cd-116       115.9048   2.914e-09   2.240e-09
           sn-117       116.9030   3.329e-09   2.538e-09
           sn-118       117.9016   2.631e-09   1.989e-09
           sn-119       118.9033   2.487e-09   1.864e-09
           sn-120       119.9022   2.389e-09   1.776e-09
           sb-121       120.9038   2.235e-09   1.647e-09
           sn-122       121.9034   2.147e-09   1.569e-09
           sb-123       122.9042   2.063e-09   1.496e-09
           sn-126       125.9077   2.423e-09   1.715e-09
           i-127        126.9045   2.889e-09   2.029e-09
           te-128       127.9045   3.575e-09   2.491e-09
           i-129        128.9050   4.095e-09   2.831e-09
           te-130       129.9062   8.207e-09   5.630e-09
           xe-131       130.9051   1.048e-08   7.134e-09
           xe-132       131.9042   1.398e-08   9.449e-09
           cs-133       132.9055   1.914e-08   1.283e-08
           xe-134       133.9054   2.653e-08   1.766e-08
           cs-135       134.9060   2.020e-08   1.334e-08
           xe-136       135.9072   3.008e-08   1.972e-08
           cs-137       136.9071   2.480e-08   1.614e-08
           ba-138       137.9052   2.619e-08   1.692e-08
           la-139       138.9064   2.745e-08   1.761e-08
           ba-140       139.9106   5.241e-11   3.339e-11
           ce-140       139.9054   2.916e-08   1.857e-08
           ce-141       140.9083   2.395e-09   1.515e-09
           pr-141       140.9077   2.735e-08   1.730e-08
           ce-142       141.9092   2.685e-08   1.686e-08
           pr-143       142.9108   7.574e-11   4.723e-11
           nd-143       142.9098   2.606e-08   1.625e-08
           ce-144       143.9136   1.814e-08   1.123e-08
           nd-145       144.9126   1.589e-08   9.769e-09
           nd-146       145.9131   1.438e-08   8.785e-09
           pm-147       146.9151   9.707e-09   5.888e-09
           nd-148       147.9169   6.524e-09   3.930e-09
           sm-149       148.9172   4.060e-09   2.430e-09
           nd-150       149.9209   2.347e-09   1.395e-09
Decay05z                 89.1175   1.000e+00   1.000e+00


